projectID,taskID,taskName,status,deadline
11,2,Analyze equipment orders before Friday,in review,2027-06-01
11,3,Verify risk registers for HR (internal),in progress,2027-05-19
11,4,Audit partner agreements for leadership review,complete,2027-03-08
11,5,Document capital expenditure requests with HR,complete,2027-04-09
11,6,Confirm vendor contracts for Sales for Q1,approved,2026-09-16
11,7,Archive weekly policy updates for leadership review,complete,2026-10-03
11,8,Organize handoff documentation for Q4,overdue,2026-12-17
12,1,Validate facility access requests this sprint,in progress,2020-12-02
12,2,Implement handoff documentation for Q2,in progress,2021-05-24
12,3,Plan project milestones before Friday,approved,2020-12-30
12,4,Prioritize current the quarterly budget for leadership review,approved,2021-02-28
12,5,Complete handoff documentation — draft,in progress,2021-01-11
12,6,Validate policy updates for Q4,in review,2021-04-10
12,7,Document upcoming department KPIs,in progress,2020-11-07
12,8,Summarize annual reviews for Operations for Q2,in progress,2021-03-20
13,1,Review budget variance notes (internal),in progress,2021-05-13
13,2,Prepare current meeting notes with finance,in progress,2021-06-01
13,3,Publish pending training materials for Q1,complete,2021-06-23
13,4,Submit monthly benefits enrollment before Friday,in review,2021-05-17
13,5,Collect compliance checklists for Q3,in progress,2021-05-24
13,6,Audit purchase orders for Finance for Q4,approved,2021-05-26
13,7,Draft weekly data backups this sprint,approved,2021-06-16
13,8,Compile budget variance notes for Finance with legal,complete,2021-05-17
14,1,Reconcile expense reports for Engineering for leadership review,approved,2022-02-22
14,2,Complete timesheets (internal),approved,2021-11-11
14,3,Prioritize pending invoice approvals for Q2,approved,2022-02-17
14,4,Confirm stakeholder feedback for Sales — follow-up,approved,2021-10-21
14,5,Complete project milestones,complete,2021-11-07
14,6,Document purchase orders for Marketing for Q2,approved,2021-12-19
14,7,Approve customer surveys for Marketing (internal),overdue,2021-09-27
14,8,Validate pending meeting notes with legal,in review,2022-05-10
15,1,Update hiring requisitions — draft,approved,2021-05-11
15,2,Finalize weekly performance goals this sprint,in progress,2021-08-10
15,3,Summarize security assessments for HR (internal),in progress,2021-08-14
15,4,Outline security assessments for HR for Q4,complete,2021-03-04
15,5,Complete current benefits enrollment — draft,in review,2021-05-03
15,6,Compile policy updates for Sales — draft,approved,2021-06-03
15,7,Submit annual reviews for Operations for Q2,approved,2021-07-21
15,8,Review department KPIs for leadership review,approved,2021-07-04
16,1,Publish risk registers for Q3,complete,2027-03-30
16,2,Prepare pending support tickets before Friday,approved,2027-07-13
16,3,Collect vendor contracts for Sales for Q1,in progress,2026-02-10
16,4,Outline travel requests for Q2,complete,2027-08-15
16,5,Verify vendor contracts for Marketing for Q2,complete,2026-08-30
16,6,Organize product requirements for Operations (internal),complete,2026-08-24
16,7,Summarize incident reports for Operations with legal,in progress,2026-01-20
16,8,Track benefits enrollment for Q1,approved,2027-03-30
17,1,Coordinate sales forecasts — draft,complete,2019-10-13
17,2,Document weekly training materials with finance,complete,2020-12-06
17,3,Update security assessments for Q2,complete,2019-08-05
17,4,Publish annual reviews for Q3,complete,2019-08-21
17,5,Prioritize monthly incident reports — draft,approved,2019-06-21
17,6,Update audit findings for Sales — follow-up,in review,2020-06-17
17,7,Reconcile pending customer surveys with finance,complete,2019-11-04
17,8,Outline pending release notes this sprint,in progress,2019-06-06
18,1,Track handoff documentation with legal,in review,2027-12-04
18,2,Finalize upcoming product requirements — follow-up,approved,2028-03-17
18,3,Update pending vendor contracts (internal),in review,2027-01-10
18,4,Approve monthly annual reviews before Friday,in review,2028-01-27
18,5,Outline pending onboarding paperwork with legal,in progress,2027-03-18
18,6,Document product requirements for Engineering with legal,in review,2027-12-06
18,7,Collect upcoming invoice approvals this sprint,approved,2027-06-27
18,8,Finalize hiring requisitions for Q4,in progress,2027-03-17
19,1,Monitor pending travel requests (internal),in progress,2020-01-15
19,2,Draft software licenses with finance,complete,2021-06-17
19,3,Validate performance goals (internal),complete,2019-11-11
19,4,Review budget variance notes for Finance (internal),complete,2021-01-08
19,5,Reconcile pending performance goals with legal,approved,2021-01-09
19,6,Analyze equipment orders for Finance (internal),in progress,2021-04-29
19,7,Monitor facility access requests for Marketing — follow-up,in review,2020-09-28
19,8,Finalize project milestones — follow-up,in review,2020-11-13
20,1,Track purchase orders for Sales (internal),complete,2025-07-09
20,2,Coordinate support tickets for Sales with finance,approved,2025-06-24
20,3,Coordinate audit findings — follow-up,approved,2025-07-06
20,4,Document current benefits enrollment,in progress,2025-06-27
20,5,Archive compliance checklists for Q3,in review,2025-07-13
20,6,Summarize annual reviews with finance,in review,2025-06-20
20,7,Coordinate vendor contracts for Engineering this sprint,complete,2025-06-25
20,8,Publish handoff documentation for Finance before Friday,in review,2025-06-22
21,1,Summarize current policy updates for leadership review,overdue,2020-05-06
21,2,Monitor department KPIs for Operations with legal,overdue,2020-05-22
21,3,Audit project milestones for Marketing for Q2,overdue,2019-12-14
21,4,Prioritize expense reports for Q4,complete,2020-05-16
21,5,Organize payroll exceptions for Q3,in progress,2020-06-28
21,6,Prioritize pending security assessments before Friday,in review,2020-01-23
21,7,Verify annual reviews for Q2,approved,2020-05-06
21,8,Collect payroll exceptions for Sales for Q1,in review,2019-11-29
22,1,Plan travel requests before Friday,complete,2026-05-19
22,2,Prepare monthly department KPIs with legal,complete,2025-12-04
22,3,Analyze policy updates (internal),overdue,2026-08-12
22,4,Verify handoff documentation for Operations for Q2,in progress,2026-05-10
22,5,Organize marketing briefs — draft,in review,2026-02-17
22,6,Collect current timesheets with HR,complete,2026-12-12
22,7,Collect upcoming software licenses — draft,approved,2025-12-20
22,8,Summarize facility access requests for Finance for Q3,in progress,2026-10-10
23,1,Draft software licenses for Marketing for leadership review,complete,2025-09-10
23,2,Prepare payroll exceptions for HR for Q1,in review,2025-10-12
23,3,Prepare weekly vendor contracts (internal),complete,2025-01-16
23,4,Archive vendor contracts for Sales for Q3,in progress,2025-06-30
23,5,Finalize meeting notes for Q2,in progress,2026-04-19
23,6,Document handoff documentation for Sales with finance,complete,2025-06-17
23,7,Validate customer surveys (internal),approved,2026-07-11
23,8,Review software licenses for Finance — draft,in progress,2024-12-30
24,1,Summarize current stakeholder feedback for Q3,in review,2023-04-16
24,2,Organize annual reviews for Engineering — draft,in progress,2023-05-09
24,3,Document travel requests for Operations with HR,in progress,2023-02-17
24,4,Audit invoice approvals for Engineering for leadership review,in progress,2022-11-06
24,5,Monitor client proposals — draft,complete,2023-05-10
24,6,Verify monthly compliance checklists for Q2,approved,2023-01-19
24,7,Review purchase orders — follow-up,complete,2023-01-18
24,8,Confirm upcoming client proposals with HR,in review,2023-03-19
25,1,Reconcile monthly handoff documentation,in review,2023-05-09
25,2,Implement benefits enrollment — follow-up,approved,2023-07-25
25,3,Confirm budget variance notes — follow-up,in progress,2023-09-23
25,4,Prioritize hiring requisitions for Engineering — follow-up,in review,2023-06-17
25,5,Audit purchase orders for Marketing (internal),in progress,2023-08-16
25,6,Archive product requirements — follow-up,complete,2023-06-06
25,7,Complete audit findings for Finance before Friday,approved,2023-08-12
25,8,Update hiring requisitions for HR for Q3,overdue,2023-08-17
26,1,Confirm expense reports for HR — follow-up,complete,2019-10-10
26,2,Audit travel requests this sprint,complete,2019-08-16
26,3,Complete weekly marketing briefs with legal,complete,2019-09-17
26,4,Coordinate equipment orders for Q4,in progress,2019-08-02
26,5,Coordinate monthly timesheets for leadership review,in review,2019-09-18
26,6,Compile monthly timesheets for Q4,approved,2019-11-01
26,7,Summarize timesheets with finance,approved,2019-09-17
26,8,Review product requirements for Engineering for Q3,complete,2019-10-11
27,1,Approve meeting notes before Friday,in progress,2019-07-10
27,2,Compile pending customer surveys for Q2,approved,2019-11-22
27,3,Review upcoming facility access requests with legal,in progress,2019-07-28
27,4,Confirm monthly incident reports,complete,2019-09-25
27,5,Approve purchase orders — draft,in progress,2019-09-30
27,6,Finalize release notes for Q2,complete,2019-09-30
27,7,Compile cross-team dependencies,overdue,2019-11-12
27,8,Finalize pending purchase orders for Q2,approved,2019-09-28
28,1,Confirm handoff documentation for Engineering for Q4,in progress,2025-03-28
28,2,Coordinate pending sales forecasts for Q4,approved,2023-12-30
28,3,Reconcile current risk registers before Friday,in progress,2023-11-13
28,4,Prepare capital expenditure requests this sprint,overdue,2024-04-23
28,5,Document support tickets with legal,approved,2024-05-08
28,6,Audit customer surveys for Operations for Q4,complete,2024-10-29
28,7,Submit budget variance notes before Friday,in review,2025-03-23
28,8,Audit scope change requests for HR this sprint,approved,2025-06-01
29,1,Collect travel requests with finance,overdue,2024-01-13
29,2,Draft data backups for Q1,in review,2024-06-07
29,3,Submit payroll exceptions for Finance for Q4,overdue,2024-01-18
29,4,Reconcile annual reviews for Sales — draft,in review,2024-05-17
29,5,Publish upcoming department KPIs this sprint,complete,2023-06-17
29,6,Track weekly equipment orders for leadership review,in progress,2023-05-06
29,7,Summarize weekly release notes for Q2,approved,2022-11-29
29,8,Publish equipment orders with HR,in progress,2023-02-02
30,1,Analyze upcoming onboarding paperwork for leadership review,complete,2024-06-29
30,2,Collect pending sales forecasts for Q4,in progress,2024-10-02
30,3,Monitor upcoming product requirements for Q1,complete,2024-08-12
30,4,Draft monthly risk registers for Q1,in review,2024-01-26
30,5,Compile policy updates for Marketing for Q3,complete,2023-09-28
30,6,Complete risk registers for Q4,overdue,2024-07-17
30,7,Finalize purchase orders for Engineering (internal),in progress,2023-07-24
30,8,Compile training materials for Q2,in review,2023-07-16
31,1,Prioritize pending client proposals — draft,in progress,2019-12-26
31,2,Publish release notes for Q2,approved,2020-03-20
31,3,Implement current software licenses with legal,complete,2020-05-09
31,4,Publish current policy updates before Friday,in review,2020-11-08
31,5,Monitor partner agreements for Operations for Q3,complete,2020-05-07
31,6,Finalize vendor contracts for Engineering — follow-up,approved,2020-03-05
31,7,Archive cross-team dependencies for Engineering with finance,in review,2020-03-26
31,8,Publish capital expenditure requests — follow-up,in review,2020-09-15
32,1,Implement stakeholder feedback for Q4,complete,2025-02-24
32,2,Confirm monthly client proposals for Q4,in progress,2025-05-05
32,3,Coordinate travel requests for Engineering (internal),complete,2024-12-18
32,4,Complete timesheets for Marketing,approved,2025-03-06
32,5,Implement inventory counts — follow-up,complete,2025-04-02
32,6,Implement weekly product requirements,in review,2025-03-31
32,7,Analyze sales forecasts for Marketing before Friday,complete,2025-03-16
32,8,Archive hiring requisitions for Engineering for Q1,in progress,2025-01-20
33,1,Coordinate pending data backups before Friday,complete,2019-10-08
33,2,Monitor weekly product requirements — follow-up,approved,2020-07-20
33,3,Prioritize project milestones for Marketing before Friday,approved,2019-03-18
33,4,Collect product requirements with finance,complete,2020-02-06
33,5,Complete pending compliance checklists for Q1,in progress,2019-10-27
33,6,Outline product requirements for Marketing — follow-up,approved,2020-09-26
33,7,Coordinate annual reviews for Operations for leadership review,approved,2019-08-08
33,8,Coordinate equipment orders — follow-up,approved,2020-01-13
34,1,Plan handoff documentation for Q1,complete,2021-06-28
34,2,Plan data backups for Q3,complete,2021-01-04
34,3,Implement project milestones with legal,complete,2020-09-18
34,4,Document budget variance notes,overdue,2021-02-18
34,5,Monitor scope change requests for Q1,complete,2021-04-02
34,6,Review handoff documentation for HR,in progress,2020-06-05
34,7,Analyze weekly equipment orders for Q3,overdue,2021-06-03
34,8,Analyze monthly product requirements with legal,in review,2021-10-27
35,1,Confirm payroll exceptions for Engineering for Q2,approved,2025-07-17
35,2,Analyze current stakeholder feedback this sprint,approved,2025-04-14
35,3,Draft performance goals with finance,in review,2026-05-23
35,4,Track vendor contracts for Operations with legal,complete,2025-10-13
35,5,Complete monthly partner agreements for Q3,complete,2024-08-20
35,6,Compile weekly benefits enrollment for Q1,approved,2025-09-22
35,7,Finalize sales forecasts for Finance with finance,approved,2025-10-20
35,8,Prioritize cross-team dependencies for Finance with HR,overdue,2025-10-22
36,1,Prioritize weekly partner agreements with finance,in review,2024-07-07
36,2,Reconcile cross-team dependencies for Engineering (internal),in review,2024-05-03
36,3,Approve release notes for Q4,complete,2024-03-24
36,4,Collect pending timesheets — follow-up,approved,2024-04-03
36,5,Submit meeting notes for Operations — follow-up,in review,2023-09-06
36,6,Prepare monthly product requirements with legal,in review,2024-01-13
36,7,Implement support tickets for Engineering for leadership review,in progress,2023-10-30
36,8,Prepare monthly training materials this sprint,in progress,2024-05-31
37,1,Schedule policy updates for Operations for Q2,in progress,2021-08-06
37,2,Review stakeholder feedback (internal),approved,2020-07-21
37,3,Validate risk registers for Engineering — follow-up,in review,2020-10-15
37,4,Prioritize project milestones for Q4,complete,2021-01-11
37,5,Plan handoff documentation for Sales — follow-up,complete,2021-04-02
37,6,Organize pending handoff documentation (internal),in progress,2021-02-18
37,7,Archive timesheets for Marketing — draft,in progress,2020-05-16
37,8,Organize software licenses for Operations with finance,complete,2021-05-30
38,1,Prepare current travel requests with legal,in progress,2020-07-08
38,2,Verify stakeholder feedback for Q3,approved,2019-09-11
38,3,Collect inventory counts for Engineering this sprint,complete,2020-04-11
38,4,Submit pending travel requests for leadership review,in progress,2019-08-31
38,5,Prioritize release notes for Q4,in review,2020-02-23
38,6,Finalize meeting notes for leadership review,in progress,2020-08-04
38,7,Monitor weekly support tickets with legal,in review,2019-10-12
38,8,Document weekly invoice approvals with legal,in review,2019-05-25
39,1,Document pending invoice approvals before Friday,complete,2021-10-15
39,2,Audit monthly invoice approvals for leadership review,in review,2021-09-11
39,3,Compile current product requirements with legal,in progress,2021-03-17
39,4,Publish release notes for Engineering with legal,in progress,2021-04-23
39,5,Implement customer surveys for Engineering,approved,2021-03-05
39,6,Monitor payroll exceptions (internal),overdue,2021-02-18
39,7,Verify timesheets for Operations — follow-up,in progress,2021-10-18
39,8,Track upcoming purchase orders for Q4,in review,2021-02-27
40,1,Update capital expenditure requests for Q4,in progress,2020-04-28
40,2,Compile project milestones for Q1,overdue,2020-04-02
40,3,Implement payroll exceptions for Q4,in review,2020-05-14
40,4,Analyze handoff documentation for Sales with legal,in review,2020-01-31
40,5,Schedule monthly hiring requisitions for leadership review,complete,2020-03-06
40,6,Draft monthly partner agreements for leadership review,approved,2020-06-04
40,7,Compile pending the quarterly budget with legal,complete,2020-02-29
40,8,Update performance goals for HR with legal,in progress,2020-02-12
41,1,Compile monthly benefits enrollment (internal),in review,2019-06-28
41,2,Verify travel requests with legal,in review,2019-04-05
41,3,Update invoice approvals — draft,approved,2019-06-30
41,4,Track upcoming vendor contracts for leadership review,in review,2019-02-15
41,5,Validate weekly support tickets — follow-up,approved,2019-07-23
41,6,Publish weekly meeting notes — draft,overdue,2019-03-31
41,7,Monitor upcoming marketing briefs with finance,approved,2019-06-14
41,8,Monitor compliance checklists with legal,in review,2019-07-12
42,1,Audit project milestones for leadership review,in progress,2021-07-26
42,2,Organize onboarding paperwork for Marketing (internal),complete,2021-07-28
42,3,Approve annual reviews,in progress,2021-10-24
42,4,Reconcile monthly audit findings — draft,in progress,2021-06-27
42,5,Document inventory counts for Sales before Friday,in progress,2021-11-05
42,6,Validate partner agreements this sprint,in review,2021-12-05
42,7,Complete upcoming cross-team dependencies for leadership review,overdue,2021-11-02
42,8,Finalize weekly audit findings for Q1,in review,2022-01-26
43,1,Update weekly facility access requests for leadership review,complete,2021-08-21
43,2,Organize training materials with HR,in review,2021-11-06
43,3,Summarize upcoming expense reports with finance,approved,2020-07-30
43,4,Coordinate performance goals for Operations — follow-up,approved,2021-08-28
43,5,Confirm inventory counts for Q1,in progress,2021-04-01
43,6,Publish weekly facility access requests with finance,in review,2021-06-15
43,7,Complete training materials,in review,2021-07-28
43,8,Archive stakeholder feedback with legal,complete,2021-04-10
44,1,Plan upcoming the quarterly budget with finance,in review,2023-07-28
44,2,Plan current data backups for Q4,approved,2023-06-01
44,3,Reconcile upcoming stakeholder feedback — follow-up,in review,2024-04-23
44,4,Analyze scope change requests for Q3,complete,2024-01-29
44,5,Document monthly marketing briefs for Q2,in review,2023-10-09
44,6,Prepare hiring requisitions this sprint,in review,2024-01-01
44,7,Document expense reports for Operations (internal),in review,2023-12-31
44,8,Collect department KPIs for Marketing for Q1,approved,2023-11-21
45,1,Analyze vendor contracts for Q3,in review,2023-08-15
45,2,Summarize upcoming release notes for Q3,in review,2023-08-23
45,3,Implement data backups for Q3,complete,2023-11-27
45,4,Reconcile the quarterly budget for Engineering — follow-up,in review,2023-11-24
45,5,Verify payroll exceptions for Marketing with legal,approved,2023-09-11
45,6,Analyze customer surveys for HR — follow-up,complete,2023-12-11
45,7,Archive partner agreements before Friday,in progress,2023-12-04
45,8,Complete client proposals this sprint,in progress,2023-12-22
46,1,Finalize equipment orders (internal),approved,2027-12-26
46,2,Summarize invoice approvals — follow-up,complete,2027-08-28
46,3,Verify pending stakeholder feedback with finance,approved,2027-03-23
46,4,Analyze training materials for Finance with finance,in progress,2026-07-31
46,5,Reconcile upcoming inventory counts for Q3,complete,2026-04-15
46,6,Verify training materials for Q2,in progress,2026-08-22
46,7,Outline incident reports — follow-up,in progress,2027-05-11
46,8,Outline performance goals for Q4,approved,2027-06-20
47,1,Track weekly sales forecasts — draft,approved,2022-10-12
47,2,Publish compliance checklists for leadership review,in progress,2022-11-13
47,3,Coordinate weekly security assessments for Q4,in review,2022-10-16
47,4,Prioritize pending handoff documentation (internal),in review,2022-10-27
47,5,Summarize benefits enrollment with finance,in review,2022-10-28
47,6,Plan training materials for Operations for Q3,complete,2022-10-17
47,7,Update weekly customer surveys with HR,in progress,2022-12-29
47,8,Archive performance goals for leadership review,complete,2022-10-04
48,1,Prepare timesheets with HR,in progress,2023-10-29
48,2,Reconcile partner agreements for Finance with finance,in review,2025-01-14
48,3,Monitor software licenses with legal,in review,2024-07-27
48,4,Organize pending invoice approvals for leadership review,in review,2023-07-23
48,5,Confirm training materials for Q4,in progress,2023-11-22
48,6,Confirm benefits enrollment for Engineering for Q3,in review,2024-01-12
48,7,Track policy updates for Engineering before Friday,complete,2024-08-30
48,8,Validate software licenses for leadership review,complete,2024-01-14
49,1,Track training materials (internal),in review,2019-11-22
49,2,Update incident reports for Sales — draft,in review,2019-11-14
49,3,Finalize the quarterly budget before Friday,overdue,2019-12-19
49,4,Track travel requests this sprint,in progress,2019-12-08
49,5,Draft pending customer surveys before Friday,in review,2019-12-14
49,6,Draft training materials — follow-up,complete,2019-12-03
49,7,Summarize department KPIs for Operations for Q1,in progress,2019-12-22
49,8,Draft weekly budget variance notes with HR,in review,2019-11-22
50,1,Approve handoff documentation — draft,complete,2022-02-07
50,2,Approve current performance goals for Q1,in review,2022-02-01
50,3,Collect upcoming department KPIs this sprint,in review,2022-02-09
50,4,Audit client proposals for Engineering before Friday,overdue,2022-02-23
50,5,Submit the quarterly budget for Marketing with HR,in review,2022-01-11
50,6,Compile security assessments for Sales (internal),in review,2022-03-01
50,7,Coordinate benefits enrollment for Engineering,in review,2022-02-28
50,8,Outline payroll exceptions — draft,approved,2022-02-21
51,1,Track pending product requirements for Q3,in review,2027-04-01
51,2,Audit handoff documentation for Marketing,complete,2026-07-11
51,3,Audit current incident reports — draft,approved,2026-07-28
51,4,Summarize current annual reviews for Q3,approved,2027-02-20
51,5,Prioritize weekly benefits enrollment for Q4,in progress,2026-06-24
51,6,Prepare weekly marketing briefs for Q2,in review,2026-09-12
51,7,Confirm pending inventory counts for Q3,approved,2026-09-26
51,8,Confirm security assessments with HR,in review,2026-07-02
52,1,Prioritize meeting notes — draft,in progress,2020-10-12
52,2,Finalize current vendor contracts with finance,complete,2020-08-24
52,3,Plan onboarding paperwork for Finance for Q2,approved,2020-10-31
52,4,Analyze monthly sales forecasts for Q3,complete,2020-10-30
52,5,Complete travel requests for HR — draft,complete,2020-08-01
52,6,Track upcoming expense reports this sprint,complete,2020-08-15
52,7,Schedule weekly support tickets for Q4,complete,2020-12-30
52,8,Publish facility access requests for Sales before Friday,complete,2020-12-21
53,1,Schedule performance goals for Engineering for Q2,approved,2022-08-15
53,2,Archive customer surveys with HR,overdue,2022-08-16
53,3,Monitor data backups for Finance (internal),in review,2022-08-22
53,4,Review expense reports for Sales for leadership review,complete,2022-08-22
53,5,Implement onboarding paperwork — follow-up,in review,2022-08-07
53,6,Track upcoming timesheets for Q1,in review,2022-08-02
53,7,Finalize product requirements for Engineering with legal,in review,2022-07-26
53,8,Collect partner agreements — draft,approved,2022-08-06
54,1,Analyze upcoming support tickets for Q1,in progress,2020-03-22
54,2,Approve project milestones for Q3,in progress,2020-05-13
54,3,Complete training materials for HR,in review,2020-03-11
54,4,Update equipment orders with HR,in progress,2020-04-22
54,5,Compile scope change requests for Operations this sprint,complete,2020-03-10
54,6,Implement risk registers for Marketing this sprint,in progress,2020-05-26
54,7,Schedule monthly equipment orders before Friday,approved,2020-03-13
54,8,Submit facility access requests before Friday,in progress,2020-05-30
55,1,Review capital expenditure requests,approved,2021-04-30
55,2,Audit the quarterly budget for Sales for Q4,in review,2021-04-07
55,3,Verify support tickets for HR with legal,in progress,2021-03-02
55,4,Implement pending travel requests for Q2,approved,2021-04-27
55,5,Outline scope change requests before Friday,in progress,2021-01-18
55,6,Analyze training materials (internal),complete,2020-12-10
55,7,Review hiring requisitions with HR,approved,2021-01-12
55,8,Track scope change requests for Marketing for Q3,complete,2021-05-14
56,1,Summarize security assessments for Q3,in progress,2025-10-16
56,2,Approve training materials this sprint,in progress,2024-04-22
56,3,Draft pending partner agreements with HR,in review,2024-12-30
56,4,Schedule product requirements for Operations for Q4,in progress,2024-11-12
56,5,Complete travel requests for Engineering this sprint,in progress,2024-07-29
56,6,Verify inventory counts with HR,complete,2024-09-08
56,7,Submit current support tickets for Q3,complete,2026-01-30
56,8,Reconcile current scope change requests for leadership review,in review,2024-12-24
57,1,Verify upcoming client proposals,complete,2025-05-16
57,2,Finalize release notes for Sales this sprint,complete,2025-05-01
57,3,Finalize marketing briefs for Finance for Q1,approved,2025-05-05
57,4,Archive training materials for Sales for Q2,in review,2025-05-17
57,5,Collect handoff documentation (internal),complete,2025-05-23
57,6,Validate inventory counts for Q2,complete,2025-05-13
57,7,Prepare budget variance notes for Sales,in progress,2025-05-18
57,8,Compile weekly customer surveys for leadership review,in review,2025-05-04
58,1,Outline invoice approvals (internal),in review,2022-03-01
58,2,Plan pending marketing briefs with finance,approved,2022-01-15
58,3,Schedule product requirements for Sales before Friday,approved,2022-03-18
58,4,Summarize handoff documentation this sprint,in review,2022-02-17
58,5,Monitor weekly sales forecasts for Q1,approved,2021-12-02
58,6,Validate benefits enrollment (internal),in progress,2022-02-23
58,7,Analyze scope change requests with legal,in review,2021-12-28
58,8,Analyze stakeholder feedback for Operations for leadership review,complete,2021-12-29
59,1,Prioritize meeting notes for HR before Friday,complete,2020-01-25
59,2,Implement weekly project milestones for Q1,in progress,2021-07-21
59,3,Document payroll exceptions for HR,complete,2021-09-28
59,4,Organize current vendor contracts with HR,complete,2021-04-06
59,5,Prioritize risk registers for Marketing for Q4,complete,2019-12-13
59,6,Submit weekly data backups for Q4,in progress,2020-03-26
59,7,Organize upcoming meeting notes — draft,approved,2021-08-24
